inscricao;data_abertura;email;telefone;nome_empresarial;nome_fantasia;logradouro;numero;complemento;cep;bairro;municipio;uf;cod_cnae;descricao_cnae;cod_natureza;descricao_natureza;endereco_completo;latitude;longitude
05120923000109;2002-06-28;ADRIANO@AEROTUR.COM.BR;84  32202950 ;AEROTUR SERVICOS DE VIAGENS LTDA;;R APODI;583;SALA 02 - 1 ANDAR;        ;TIROL;NATAL;RN;79112;Agências de viagens;2062;Sociedade Empresária Limitada;R. Apodi, 583 - SALA 02 - 1 ANDAR - Tirol, Natal - RN, 59020-130, Brazil;-5.7915342;-35.2003199
03538129000146;1999-11-30;PRESCOFIL@BOL.COM.BR;84  32724098 84  6130111;MAC DE MELO;MEGADIESEL;AV PILOTO PEREIRA TIM;2260;;        ;CENTRO;PARNAMIRIM;RN;00000;Sem informação;2135;Empresário (Individual);Av. Piloto Pereira Tim, 2260 - Centro, Parnamirim - RN, 59140-250, Brazil;-5.9107964;-35.26164360000001
09080300000100;1984-11-05;CARBOX@CARBOX.COM.BR;84  32170106 84  32170106;CARBOX - MONTEIRO & MESQUITA LTDA;CARBOX;AV DAO SILVEIRA;4412;;        ;CANDELARIA;NATAL;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;Av. Dão Silveira, 4412 - Candelária, Natal - RN, 59066-180, Brazil;-5.856717799999999;-35.2126611
10334942000160;2008-08-27;CARBOX@CARBOX.COM.BR;84  32076913 84  32139025;CARBOX LTDA;;AV DAO SILVEIRA;4200;;        ;CANDELARIA;NATAL;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;Av. Dão Silveira, 4200 - Candelária, Natal - RN, 59066-180, Brazil;-5.856470499999999;-35.2126702
10298485000103;2008-08-15;TOTALMIDIAEVENTOS@HOTMAIL.COM;84  32119441 84  32119441;TOTAL MULTIMIDIA LOCACAO E EVENTOS LTDA;TOTAL MULTIMIDIA;R NASCIMENTO FERNANDES;2145;;        ;LAGOA NOVA;NATAL;RN;77390;Aluguel de máquinas e equipamentos não especificados anteriormente;2062;Sociedade Empresária Limitada;R. Nascimento Fernandes, 2145 - Lagoa Nova, Natal - RN, 59056-280, Brazil;-5.816315899999999;-35.200792
24367732000182;1989-06-22;grace@praiamarnatal.com.br;84  32192230 84  32192230;PRAIAMAR EMPREENDIMENTOS TURISTICOS LTDA;;R FRANCISCO GURGEL;33;;        ;PONTA NEGRA;NATAL;RN;55108;Hotéis e similares;2062;Sociedade Empresária Limitada;R. Francisco Gurgel, 33 - Ponta Negra, Natal - RN, 59090-050, Brazil;-5.872568999999999;-35.1783299
14639720000106;2011-11-18;JEDUARDO@INFRAMERICA.AERO;61  32146239 84  40068924;INFRAMERICA CONCESSIONARIA DO AEROPORTO DE SAO GONCALO DO AMARANTE S.A.;INFRAMERICA;AV RUI PEREIRA DOS SANTOS;3100;;        ;AEROPORTO;SÃO GONÇALO DO AMARANTE;RN;52401;Atividades auxiliares dos transportes aéreos;2054;Sociedade Anônima Fechada;Aeroporto Internacional Governador Aluízio Alves (NAT) - Avenida Dr. Ruy Pereira dos Santos, 3100 - Aeroporto, São Gonçalo do Amarante - RN, 59290-000, Brazil;-5.767906900000001;-35.3640318
07093918000171;2004-10-28;; ;CENTRO DE CAPACITACAO E TREINAMENTO PATATIVA DO ASSARE;;R JOAO XAVIER PEREIRA SOBRAL;1086;;        ;PACIFICA;CEARÁ-MIRIM;RN;00000;Sem informação;3999;Associação Privada;R. Cel. João Sá, Ceará-Mirim - RN, 59570-000, Brazil;-5.6470229;-35.4203024
00604122000197;1995-05-16;;034 2140133 ;TRIVALE ADMINISTRACAO LTDA;;R MACHADO DE ASSIS;904;;        ;CENTRO;UBERLÂNDIA;MG;82997;Atividades de serviços prestados principalmente às empresas não especificadas anteriormente;2062;Sociedade Empresária Limitada;R. Machado de Assis, 904 - Centro, Uberlândia - MG, 38400-112, Brazil;-18.9210358;-48.2745781
12801601000182;1987-11-25;ROSSYNE.CONTABILIDADE@PROTOUR.COM.BR;84  40082800 84  40082829;PROTASIO LOCACAO E TURISMO LTDA;PROTOUR;AV ENGENHEIRO ROBERTO FREIRE;2284;;        ;CAPIM MACIO;NATAL;RN;77110;Locação de automóveis sem condutor;2062;Sociedade Empresária Limitada;Av. Engenheiro Roberto Freire, 2284 - Capim Macio, Natal - RN, 59082-000, Brazil;-5.861638999999999;-35.1915935
