endereco_completo;latitude;longitude
R. Apodi, 583 - SALA 02 - 1 ANDAR - Tirol, Natal - RN, 59020-130, Brazil;-5.7915342;-35.2003199
Av. Piloto Pereira Tim, 2260 - Centro, Parnamirim - RN, 59140-250, Brazil;-5.9107964;-35.26164360000001
Av. Dão Silveira, 4412 - Candelária, Natal - RN, 59066-180, Brazil;-5.856717799999999;-35.2126611
Av. Dão Silveira, 4200 - Candelária, Natal - RN, 59066-180, Brazil;-5.856470499999999;-35.2126702
R. Nascimento Fernandes, 2145 - Lagoa Nova, Natal - RN, 59056-280, Brazil;-5.816315899999999;-35.200792
R. Francisco Gurgel, 33 - Ponta Negra, Natal - RN, 59090-050, Brazil;-5.872568999999999;-35.1783299
Aeroporto Internacional Governador Aluízio Alves (NAT) - Avenida Dr. Ruy Pereira dos Santos, 3100 - Aeroporto, São Gonçalo do Amarante - RN, 59290-000, Brazil;-5.767906900000001;-35.3640318
R. Cel. João Sá, Ceará-Mirim - RN, 59570-000, Brazil;-5.6470229;-35.4203024
R. Machado de Assis, 904 - Centro, Uberlândia - MG, 38400-112, Brazil;-18.9210358;-48.2745781
Av. Engenheiro Roberto Freire, 2284 - Capim Macio, Natal - RN, 59082-000, Brazil;-5.861638999999999;-35.1915935
R. Cel. Luciano Saldanha, 1923 - Capim Macio, Natal - RN, 59078-390, Brazil;-5.8492884;-35.2033538
Moriah Shopping - Av. Epitacio Pessoa, 2580 - 01 - Tambauzinho, João Pessoa - PB, 58042-006, Brazil;-7.119932599999999;-34.8470985
R. Rio Mearim, 7702 - Pitimbú, Natal - RN, 59068-410, Brazil;-5.8576438;-35.235258
Rua da Lina do Trem, s/n Centro,, RN, Brazil;-5.709007499999999;-35.3052962
Av. Prudente de Morais, 744 - 1110 - Tirol, Natal - RN, 59075-000, Brazil;-5.826785699999999;-35.2129579
R. do Lavradio, 71 - ANDAR 2 - Centro, Rio de Janeiro - RJ, 20230-070, Brazil;-22.9091342;-43.1827939
R. Henri Dunant, 846 - Santo Amaro, São Paulo - SP, 04709-111, Brazil;-23.6273834;-46.699121
R. Des. Vítor Lima, 260 - 908 - Trindade, Florianópolis - SC, 88040-401, Brazil;-27.596754;-48.5223569
R. Estela, 515 - BL.H   3 A - Vila Mariana, São Paulo - SP, 04011-002, Brazil;-23.5788732;-46.6456289
R. Conselheiro Crispiniano, 69 - CONJ  62/63 - República, São Paulo - SP, 01037-001, Brazil;-23.5462608;-46.640189
R. da Saudade, 1313 - Nova Descoberta, Natal - RN, 59056-400, Brazil;-5.823968600000001;-35.1975977
Avenida Rio Branco, 609, Santa Cruz - RN, 59200-000, Brazil;-6.2245244;-36.0208014
R. Aurélio Pinheiro, 456 - Barro Vermelho, Natal - RN, 59030-410, Brazil;-5.797426499999999;-35.2119311
Av. Francisco Mota - Rincão, Mossoró - RN, Brazil;-5.195348099999999;-37.3154195
Av. Sen. Salgado Filho, 1555 - Candelária, Natal - RN, 59022-260, Brazil;-5.8089771;-35.2034974
A - R. Jacaúna, 1 - Lagoa Seca, Natal - RN, 59022-360, Brazil;-5.8097594;-35.2074703
R. José Porpino da Silva, 186 - Rosa dos Ventos, Parnamirim - RN, 59141-510, Brazil;-5.928007;-35.278754
Rua Felipe Cortez, 1843 - Lagoa Nova, Natal - RN, 59056-150, Brazil;-5.8203757;-35.2035553
R. Tibúrcio Cavalcante, 2850 - Dionísio Torres, Fortaleza - CE, 60125-101, Brazil;-3.7496172;-38.5071361
R. Tibúrcio Cavalcante, 2850 - Dionísio Torres, Fortaleza - CE, 60125-101, Brazil;-3.7496172;-38.5071361
R. Dr. Horácio, 596 - Lagoa Nova, Natal - RN, 59054-640, Brazil;-5.813624900000001;-35.2153497
Rua Djair Dantas Pereira de Macedo, 1382 - Lagoa Seca, Natal - RN, 59022-370, Brazil;-5.8098215;-35.2079992
Av. Miguel Castro, 1355 - Lagoa Nova, Natal - RN, 59054-145, Brazil;-5.815464299999999;-35.228412
Rua Praia de Caraúbas, 8828 - Ponta Negra, Natal - RN, 59094-210, Brazil;-5.871026;-35.187403
R. Dr. Horácio, 596 - Lagoa Nova, Natal - RN, 59054-640, Brazil;-5.813624900000001;-35.2153497
R. dos Estudantes, 382 - Sé, São Paulo - SP, 03216-050, Brazil;-23.5556169;-46.63150659999999
R. Dr. Horácio, 596 - Lagoa Nova, Natal - RN, 59054-640, Brazil;-5.813624900000001;-35.2153497
Av. São Paulo, 1205 - SALA  A - Estados, João Pessoa - PB, 58088-230, Brazil;-7.117349399999999;-34.856976
Marabá - State of Pará, Brazil;-5.5927124;-50.1832516
Rua Agnaldo Gurgel Junior, 1920 - Candelária, Natal - RN, 59066-030, Brazil;-5.845609;-35.2207495
SIG Quadra 06 - Lote 800, SIG, Brasília - DF, 70610-460, Brazil;-15.7915588;-47.9133135
São José de Mipibu, State of Rio Grande do Norte, Brazil;-6.0742528;-35.2369601
